cgpa,backlogs,college_tier,university_ranking_band,internship_count,aptitude_score,communication_score,internship_quality_score,total_internship_value,academic_power,pedigree_score,weighted_gpa,soft_tech_synergy,risk_adjusted_gpa,is_top_market,country_Canada,country_Germany,country_India,country_UK,country_USA,specialization_AI/ML,specialization_Cloud,specialization_Core CS,specialization_Cybersecurity,specialization_Data Science,industry_Consulting,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Other,industry_Tech
1.0658296480674037,2,1.2890752721985064,0.1655293940339541,0.24929971164217768,-0.10578682733962318,1.1374827374336394,-1.02057766201102,-0.18348442727977735,0.4518020609545492,1.021060842129304,1.6524260076647181,0.7523857379212888,-0.9131995240725402,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.3432701005083114,2,-1.2890752721985064,0.1655293940339541,0.24929971164217768,-0.44468807948674965,-1.7590292547193513,0.8237918125031479,0.5755253045960058,0.5263792822882624,-0.8041294483956405,-1.066592788769416,-1.474269548212742,-0.8829710955691642,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9633153635229513,1,1.2890752721985064,-1.1614016767072866,-1.354691374243833,0.26927652510520167,0.2105077416807937,1.3797421192388781,-1.2327383903585722,-0.996872067900572,-0.3478318757644044,1.6127476365417692,0.34608235547226407,-0.3483464135636344,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.385721858685091,0,0.0,1.492460464775195,1.8532907975281885,0.9857520075074947,2.2768964915806187,-0.47874279851563206,1.3117300010370545,2.015680705826985,1.021060842129304,0.35756259569425647,2.6767152852194784,1.5177906037658786,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.0990380070045103,1,-1.2890752721985064,0.1655293940339541,-0.5526958313008277,-0.2686352586237648,0.6861697169101124,1.4297837507694344,-0.20391520935562443,-0.13012394460832694,-0.8041294483956405,-1.38169296535167,0.3012085145649162,-0.6854009104540848,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7040550812029462,2,1.2890752721985064,-1.1614016767072866,0.24929971164217768,0.7929778500404925,-0.07853116480160345,-0.5150556260206859,0.02455205906219833,-1.220970344859841,-0.3478318757644044,0.9673883717401596,0.4650416148731099,-1.1060367023833027,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.12540583048284945,1,-1.2890752721985064,0.1655293940339541,-0.5526958313008277,-0.2202709505367047,-0.32133370661105043,1.2789385239719835,-0.2349537286784499,0.19901197726465672,-0.8041294483956405,-1.223718437805172,-0.3710431642726156,-0.4852876284565567,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.4923431103347725,0,1.2890752721985064,1.492460464775195,0.24929971164217768,0.4745429491458716,0.5678942397096003,-0.0636909354905576,0.21030127985089708,1.2584324442192854,2.389953560023012,1.0493319388109101,0.7786795515113029,0.90391884705653,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6481060265753329,2,1.2890752721985064,1.492460464775195,-0.5526958313008277,-0.6415608274357897,-0.020864049079891863,-0.28494345383591485,-0.5567443614837382,1.7182691062213893,2.389953560023012,1.4907451945562034,-0.43961029905440535,-0.9587124567229578,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.12717202782517434,0,0.0,-1.1614016767072866,-1.354691374243833,0.46003971868042254,-0.6487726432388472,0.6583310589714448,-1.2327383903585722,-1.1434359860867893,-0.8041294483956405,-0.03281659464882327,-0.21331372741198634,1.0232801139016339,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
